Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Decision Type Code,Decision Data Type,Decision Data,Decisions Average Persons Per Case,Recognized,Complementary Protection,Otherwise Closed,Rejected,Total Decided
2000,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,AR,P,Persons,0,34,57,227,540,858
2000,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,FI,P,Persons,0,34,293,1617,28,1972
2000,SDN,NGA,Sudan,Nigeria,G,Government,FI,P,Persons,0,0,0,0,11,11
2000,SDN,NOR,Sudan,Norway,G,Government,AR,P,Persons,0,0,5,0,39,44
2000,SDN,NOR,Sudan,Norway,G,Government,FI,P,Persons,0,0,19,0,37,56
2000,SDN,POL,Sudan,Poland,G,Government,FI,P,Persons,0,5,0,0,0,5
2000,SDN,ROU,Sudan,Romania,G,Government,FI,P,Persons,0,5,0,5,63,73
2000,SDN,ZAF,Sudan,South Africa,G,Government,FI,P,Persons,0,0,10,0,43,53
2000,SDN,SAU,Sudan,Saudi Arabia,U,UNHCR,FI,P,Persons,0,0,0,17,22,39
2000,SDN,ESP,Sudan,Spain,G,Government,FI,P,Persons,0,0,0,18,15,33
2000,SDN,SVN,Sudan,Slovenia,G,Government,FI,P,Persons,0,0,0,12,0,12
2000,SDN,SWE,Sudan,Sweden,G,Government,AR,P,Persons,0,5,5,0,5,15
2000,SDN,SWE,Sudan,Sweden,G,Government,FI,P,Persons,0,0,0,0,13,13
2000,SDN,CHE,Sudan,Switzerland,G,Government,CA,P,Persons,0,0,10,0,0,10
2000,SDN,CHE,Sudan,Switzerland,G,Government,FI,P,Persons,0,10,11,5,23,49
2000,SDN,SYR,Sudan,Syrian Arab Republic,U,UNHCR,FI,C,Cases,0,41,0,353,240,634
2000,SDN,TUR,Sudan,Türkiye,U,UNHCR,FI,P,Persons,0,0,0,5,0,5
2000,SDN,ARE,Sudan,United Arab Emirates,U,UNHCR,FI,P,Persons,0,0,0,0,17,17
2000,SDN,UGA,Sudan,Uganda,G,Government,FI,P,Persons,0,24,0,0,10,34
2000,SDN,UKR,Sudan,Ukraine,G,Government,FI,P,Persons,0,5,0,0,19,24
2000,SDN,USA,Sudan,United States of America,G,Government,EO,C,Cases,0,65,0,88,49,202
2000,SDN,USA,Sudan,United States of America,G,Government,IN,C,Cases,0,429,0,36,131,586
2000,SDN,YEM,Sudan,Yemen,U,UNHCR,FI,P,Persons,0,25,0,10,158,193
2000,SDN,ZWE,Sudan,Zimbabwe,G,Government,FI,P,Persons,0,14,0,0,0,14
2001,SDN,DZA,Sudan,Algeria,U,UNHCR,FI,C,Cases,0,0,0,0,5,5
2001,SDN,EGY,Sudan,Egypt,U,UNHCR,FI,P,Persons,0,3400,0,0,3563,6963
2001,SDN,AUS,Sudan,Australia,G,Government,AR,C,Cases,0,5,0,0,5,10
2001,SDN,AUS,Sudan,Australia,G,Government,FI,C,Cases,0,0,0,0,14,14
2001,SDN,AUT,Sudan,Austria,G,Government,FA,P,Persons,0,5,0,0,24,29
2001,SDN,BEL,Sudan,Belgium,G,Government,AR,P,Persons,0,5,0,0,0,5
2001,SDN,BEL,Sudan,Belgium,G,Government,FI,P,Persons,0,5,0,0,0,5
2001,SDN,BEN,Sudan,Benin,G,Government,FI,P,Persons,0,5,0,0,13,18
2001,SDN,BRA,Sudan,Brazil,G,Government,FI,P,Persons,0,5,0,0,0,5
2001,SDN,BGR,Sudan,Bulgaria,G,Government,FI,P,Persons,0,5,43,0,0,48
2001,SDN,KHM,Sudan,Cambodia,U,UNHCR,FI,P,Persons,0,0,0,5,0,5
2001,SDN,CAN,Sudan,Canada,G,Government,FI,P,Persons,0,241,0,31,52,324
2001,SDN,TCD,Sudan,Chad,G,Government,FI,P,Persons,0,58,0,0,50,108
2001,SDN,COD,Sudan,Democratic Republic of the Congo,U,UNHCR,FI,C,Cases,0,20,0,0,0,20
2001,SDN,CUB,Sudan,Cuba,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2001,SDN,CYP,Sudan,Cyprus,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2001,SDN,FRA,Sudan,France,G,Government,FI,P,Persons,0,57,0,0,83,140
2001,SDN,FRA,Sudan,France,G,Government,RA,P,Persons,0,5,0,0,0,5
2001,SDN,GAB,Sudan,Gabon,U,UNHCR,FI,P,Persons,0,0,0,5,0,5
2001,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,FI,C,Cases,0,120,50,75,520,765
2001,SDN,DEU,Sudan,Germany,G,Government,NA,P,Persons,0,5,5,10,109,129
2001,SDN,DEU,Sudan,Germany,G,Government,RA,P,Persons,0,0,0,38,0,38
2001,SDN,GRC,Sudan,Greece,G,Government,FI,P,Persons,0,5,0,16,17,38
2001,SDN,HKG,Sudan,"China, Hong Kong Special Administrative Region",U,UNHCR,FI,P,Persons,0,10,0,0,0,10
2001,SDN,HUN,Sudan,Hungary,G,Government,FI,P,Persons,0,0,5,29,60,94
2001,SDN,IND,Sudan,India,U,UNHCR,FI,P,Persons,0,30,0,0,35,65
2001,SDN,IRL,Sudan,Ireland,G,Government,FI,P,Persons,0,5,0,12,21,38
2001,SDN,ISR,Sudan,Israel,U,UNHCR,FI,P,Persons,0,5,0,0,0,5
2001,SDN,ITA,Sudan,Italy,G,Government,FA,P,Persons,0,23,5,0,11,39
2001,SDN,JOR,Sudan,Jordan,U,UNHCR,FI,P,Persons,0,5,0,13,88,106
2001,SDN,JPN,Sudan,Japan,G,Government,AR,P,Persons,0,0,0,0,5,5
2001,SDN,JPN,Sudan,Japan,G,Government,FI,P,Persons,0,0,5,0,5,10
2001,SDN,KEN,Sudan,Kenya,U,UNHCR,FI,P,Persons,0,31,0,143,0,174
2001,SDN,LBY,Sudan,Libya,U,UNHCR,FI,P,Persons,0,0,0,16,0,16
2001,SDN,LBN,Sudan,Lebanon,U,UNHCR,FI,P,Persons,0,192,0,661,1315,2168
2001,SDN,MDA,Sudan,Republic of Moldova,U,UNHCR,FI,P,Persons,0,0,0,14,31,45
2001,SDN,MEX,Sudan,Mexico,U,UNHCR,FI,P,Persons,0,5,0,0,0,5
2001,SDN,MOZ,Sudan,Mozambique,G,Government,FI,P,Persons,0,0,0,5,0,5
2001,SDN,MLT,Sudan,Malta,G,Government,FI,C,Cases,0,0,10,0,0,10
2001,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,AR,P,Persons,0,50,93,1042,5,1190
2001,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,FI,P,Persons,0,5,176,431,515,1127
2001,SDN,NGA,Sudan,Nigeria,G,Government,FI,P,Persons,0,0,0,0,5,5
2001,SDN,NOR,Sudan,Norway,G,Government,FI,P,Persons,0,0,29,0,27,56
2001,SDN,NZL,Sudan,New Zealand,G,Government,FI,P,Persons,0,0,0,0,5,5
2001,SDN,POL,Sudan,Poland,G,Government,AR,P,Persons,0,5,0,0,0,5
2001,SDN,POL,Sudan,Poland,G,Government,FI,P,Persons,0,0,0,0,11,11
2001,SDN,QAT,Sudan,Qatar,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2001,SDN,ROU,Sudan,Romania,G,Government,FI,P,Persons,0,5,0,0,50,55
2001,SDN,ZAF,Sudan,South Africa,G,Government,FI,P,Persons,0,50,0,5,61,116
2001,SDN,RUS,Sudan,Russian Federation,G,Government,FI,P,Persons,0,0,0,0,5,5
2001,SDN,SAU,Sudan,Saudi Arabia,U,UNHCR,FI,P,Persons,0,0,0,5,24,29
2001,SDN,SOM,Sudan,Somalia,U,UNHCR,FI,P,Persons,0,5,0,0,0,5
2001,SDN,ESP,Sudan,Spain,G,Government,FI,P,Persons,0,0,5,11,5,21
2001,SDN,SVK,Sudan,Slovakia,G,Government,FI,P,Persons,0,0,0,28,0,28
2001,SDN,SVN,Sudan,Slovenia,G,Government,FI,P,Persons,0,0,0,25,0,25
2001,SDN,SWE,Sudan,Sweden,G,Government,FI,P,Persons,0,0,14,0,0,14
2001,SDN,CHE,Sudan,Switzerland,G,Government,FI,P,Persons,0,12,0,5,54,71
2001,SDN,SYR,Sudan,Syrian Arab Republic,U,UNHCR,FI,C,Cases,0,25,0,89,201,315
2001,SDN,TUR,Sudan,Türkiye,U,UNHCR,FI,P,Persons,0,0,0,5,0,5
2001,SDN,ARE,Sudan,United Arab Emirates,U,UNHCR,FI,P,Persons,0,0,0,5,0,5
2001,SDN,UGA,Sudan,Uganda,G,Government,FI,P,Persons,0,734,0,46,0,780
2001,SDN,UKR,Sudan,Ukraine,G,Government,FI,P,Persons,0,0,0,0,5,5
2001,SDN,USA,Sudan,United States of America,G,Government,EO,C,Cases,0,77,0,85,71,233
2001,SDN,USA,Sudan,United States of America,G,Government,IN,C,Cases,0,410,0,30,160,600
2001,SDN,YEM,Sudan,Yemen,U,UNHCR,FI,P,Persons,0,12,0,120,95,227
2001,SDN,ZWE,Sudan,Zimbabwe,G,Government,FI,P,Persons,0,61,0,0,5,66
2002,SDN,EGY,Sudan,Egypt,U,UNHCR,FI,P,Persons,0,4245,0,0,5897,10142
2002,SDN,AUS,Sudan,Australia,G,Government,AR,C,Cases,0,5,0,0,5,10
2002,SDN,AUS,Sudan,Australia,G,Government,FI,P,Persons,0,5,0,0,0,5
2002,SDN,AUT,Sudan,Austria,G,Government,FA,P,Persons,0,10,0,70,17,97
2002,SDN,BEL,Sudan,Belgium,G,Government,FI,P,Persons,0,0,0,0,5,5
2002,SDN,BEN,Sudan,Benin,G,Government,FI,P,Persons,0,15,0,0,5,20
2002,SDN,BWA,Sudan,Botswana,G,Government,FI,P,Persons,0,13,0,0,0,13
2002,SDN,BGR,Sudan,Bulgaria,G,Government,FI,P,Persons,0,10,83,55,5,153
2002,SDN,CAN,Sudan,Canada,G,Government,FI,P,Persons,0,244,0,29,57,330
2002,SDN,TCD,Sudan,Chad,G,Government,FI,P,Persons,0,5,0,0,18,23
2002,SDN,COG,Sudan,Congo,U,UNHCR,FI,C,Cases,0,0,0,0,10,10
2002,SDN,COD,Sudan,Democratic Republic of the Congo,U,UNHCR,FI,C,Cases,0,5,0,5,10,20
2002,SDN,DNK,Sudan,Denmark,G,Government,FI,P,Persons,0,21,16,0,5,42
2002,SDN,ERI,Sudan,Eritrea,U,UNHCR,FI,P,Persons,0,5,0,0,0,5
2002,SDN,ETH,Sudan,Ethiopia,G,Government,FI,P,Persons,0,6134,0,0,0,6134
2002,SDN,FRA,Sudan,France,G,Government,FI,P,Persons,0,13,0,0,55,68
2002,SDN,FRA,Sudan,France,G,Government,RA,P,Persons,0,10,0,0,0,10
2002,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,AR,C,Cases,0,225,0,20,240,485
2002,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,FI,C,Cases,0,70,40,50,405,565
2002,SDN,DEU,Sudan,Germany,G,Government,NA,P,Persons,0,16,0,10,173,199
2002,SDN,DEU,Sudan,Germany,G,Government,RA,P,Persons,0,5,0,23,0,28
2002,SDN,GHA,Sudan,Ghana,G,Government,FI,P,Persons,0,10,0,0,0,10
2002,SDN,GRC,Sudan,Greece,G,Government,FI,P,Persons,0,0,0,5,63,68
2002,SDN,HUN,Sudan,Hungary,G,Government,FI,P,Persons,0,0,49,45,5,99
2002,SDN,IND,Sudan,India,U,UNHCR,AR,P,Persons,0,10,0,0,11,21
2002,SDN,IND,Sudan,India,U,UNHCR,FI,P,Persons,0,24,0,0,45,69
2002,SDN,IDN,Sudan,Indonesia,U,UNHCR,FI,P,Persons,0,0,0,5,0,5
2002,SDN,IRL,Sudan,Ireland,G,Government,AR,P,Persons,0,5,0,5,11,21
2002,SDN,IRL,Sudan,Ireland,G,Government,FI,P,Persons,0,11,0,12,23,46
2002,SDN,ITA,Sudan,Italy,G,Government,FA,P,Persons,0,28,25,0,56,109
2002,SDN,JOR,Sudan,Jordan,U,UNHCR,FI,P,Persons,0,0,0,122,93,215
2002,SDN,JPN,Sudan,Japan,G,Government,AR,P,Persons,0,0,0,0,5,5
2002,SDN,JPN,Sudan,Japan,G,Government,FI,P,Persons,0,0,0,0,5,5
2002,SDN,KEN,Sudan,Kenya,U,UNHCR,FI,P,Persons,0,17,0,941,5,963
2002,SDN,LBY,Sudan,Libya,U,UNHCR,FI,C,Cases,0,5,0,0,0,5
2002,SDN,LBN,Sudan,Lebanon,U,UNHCR,FI,P,Persons,0,37,0,440,627,1104
2002,SDN,MDA,Sudan,Republic of Moldova,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2002,SDN,MLT,Sudan,Malta,G,Government,FI,C,Cases,0,0,0,0,30,30
2002,SDN,MLT,Sudan,Malta,U,UNHCR,FI,P,Persons,0,5,0,0,47,52
2002,SDN,NAM,Sudan,Namibia,G,Government,FI,P,Persons,0,0,0,5,0,5
2002,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,AR,P,Persons,0,46,203,282,1272,1803
2002,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,FI,P,Persons,0,10,88,99,831,1028
2002,SDN,NER,Sudan,Niger,U,UNHCR,FI,P,Persons,0,0,0,10,0,10
2002,SDN,NGA,Sudan,Nigeria,G,Government,FI,P,Persons,0,12,0,0,0,12
2002,SDN,NOR,Sudan,Norway,G,Government,FI,P,Persons,0,0,10,10,34,54
2002,SDN,NZL,Sudan,New Zealand,G,Government,FI,P,Persons,0,5,0,0,5,10
2002,SDN,POL,Sudan,Poland,G,Government,AR,P,Persons,0,0,0,0,5,5
2002,SDN,POL,Sudan,Poland,G,Government,FI,P,Persons,0,0,0,0,13,13
2002,SDN,QAT,Sudan,Qatar,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2002,SDN,ROU,Sudan,Romania,G,Government,FI,P,Persons,0,5,0,0,44,49
2002,SDN,ZAF,Sudan,South Africa,G,Government,FI,P,Persons,0,34,0,0,0,34
2002,SDN,RUS,Sudan,Russian Federation,G,Government,FI,P,Persons,0,0,0,0,5,5
2002,SDN,SAU,Sudan,Saudi Arabia,U,UNHCR,FI,P,Persons,0,10,0,0,47,57
2002,SDN,SEN,Sudan,Senegal,G,Government,FI,P,Persons,0,0,0,5,0,5
2002,SDN,SOM,Sudan,Somalia,U,UNHCR,FI,P,Persons,0,5,0,0,0,5
2002,SDN,ESP,Sudan,Spain,G,Government,FI,P,Persons,0,0,0,50,5,55
2002,SDN,SRB,Sudan,Serbia,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2002,SDN,SVK,Sudan,Slovakia,G,Government,FI,P,Persons,0,0,0,51,0,51
2002,SDN,SVN,Sudan,Slovenia,G,Government,FI,P,Persons,0,0,0,0,5,5
2002,SDN,SWE,Sudan,Sweden,G,Government,AR,P,Persons,0,0,0,0,10,10
2002,SDN,SWE,Sudan,Sweden,G,Government,FI,P,Persons,0,0,0,0,14,14
2002,SDN,CHE,Sudan,Switzerland,G,Government,FI,P,Persons,0,5,0,13,32,50
2002,SDN,SYR,Sudan,Syrian Arab Republic,U,UNHCR,FI,C,Cases,0,18,0,46,146,210
2002,SDN,TUR,Sudan,Türkiye,U,UNHCR,FI,P,Persons,0,0,0,5,0,5
2002,SDN,ARE,Sudan,United Arab Emirates,U,UNHCR,FI,P,Persons,0,0,0,0,10,10
2002,SDN,UGA,Sudan,Uganda,G,Government,FI,P,Persons,0,145,0,25,0,170
2002,SDN,USA,Sudan,United States of America,G,Government,EO,P,Persons,0,86,0,118,95,299
2002,SDN,USA,Sudan,United States of America,G,Government,IN,C,Cases,0,360,0,23,208,591
2002,SDN,YEM,Sudan,Yemen,U,UNHCR,FI,P,Persons,0,0,0,429,34,463
2002,SDN,ZWE,Sudan,Zimbabwe,G,Government,FI,P,Persons,0,10,0,0,0,10
2003,SDN,EGY,Sudan,Egypt,U,UNHCR,FI,P,Persons,0,8674,0,0,2083,10757
2003,SDN,AUS,Sudan,Australia,G,Government,FI,P,Persons,0,0,0,0,10,10
2003,SDN,AUT,Sudan,Austria,G,Government,FA,P,Persons,0,16,0,0,11,27
2003,SDN,BEL,Sudan,Belgium,G,Government,AR,P,Persons,0,0,0,0,18,18
2003,SDN,BEL,Sudan,Belgium,G,Government,FI,P,Persons,0,0,0,0,47,47
2003,SDN,BEN,Sudan,Benin,G,Government,AR,P,Persons,0,0,0,0,20,20
2003,SDN,BEN,Sudan,Benin,G,Government,FI,P,Persons,0,0,0,0,50,50
2003,SDN,BRA,Sudan,Brazil,G,Government,FI,P,Persons,0,5,0,0,0,5
2003,SDN,CAN,Sudan,Canada,G,Government,FI,P,Persons,0,203,0,37,31,271
2003,SDN,CAF,Sudan,Central African Republic,G,Government,FI,P,Persons,0,0,0,521,0,521
2003,SDN,TCD,Sudan,Chad,G,Government,FI,P,Persons,0,0,13,0,0,13
2003,SDN,COD,Sudan,Democratic Republic of the Congo,U,UNHCR,FI,C,Cases,0,5,0,0,5,10
2003,SDN,DNK,Sudan,Denmark,G,Government,AR,P,Persons,0,0,0,0,13,13
2003,SDN,DNK,Sudan,Denmark,G,Government,FI,P,Persons,0,10,0,0,15,25
2003,SDN,FRA,Sudan,France,G,Government,FI,P,Persons,0,44,0,0,192,236
2003,SDN,FRA,Sudan,France,G,Government,RA,P,Persons,0,19,0,0,0,19
2003,SDN,GAB,Sudan,Gabon,G,Government,FI,P,Persons,0,0,0,0,5,5
2003,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,AR,C,Cases,0,310,0,40,470,820
2003,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,FI,P,Persons,0,139,24,138,604,905
2003,SDN,DEU,Sudan,Germany,G,Government,NA,P,Persons,0,5,0,24,301,330
2003,SDN,DEU,Sudan,Germany,G,Government,RA,P,Persons,0,5,0,31,0,36
2003,SDN,GHA,Sudan,Ghana,G,Government,FI,P,Persons,0,5,0,0,0,5
2003,SDN,GRC,Sudan,Greece,G,Government,FI,P,Persons,0,0,0,0,129,129
2003,SDN,HUN,Sudan,Hungary,G,Government,FI,P,Persons,0,10,11,30,10,61
2003,SDN,IND,Sudan,India,U,UNHCR,AR,P,Persons,0,5,0,0,17,22
2003,SDN,IND,Sudan,India,U,UNHCR,FI,P,Persons,0,5,0,0,47,52
2003,SDN,IDN,Sudan,Indonesia,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2003,SDN,IRL,Sudan,Ireland,G,Government,AR,P,Persons,0,10,0,0,10,20
2003,SDN,IRL,Sudan,Ireland,G,Government,FI,P,Persons,0,16,0,5,30,51
2003,SDN,ITA,Sudan,Italy,G,Government,FA,P,Persons,0,44,0,0,450,494
2003,SDN,JOR,Sudan,Jordan,U,UNHCR,FI,P,Persons,0,37,0,39,22,98
2003,SDN,KEN,Sudan,Kenya,U,UNHCR,FI,P,Persons,0,176,0,5,18,199
2003,SDN,LBY,Sudan,Libya,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2003,SDN,LBN,Sudan,Lebanon,U,UNHCR,FI,P,Persons,0,0,0,45,140,185
2003,SDN,MDA,Sudan,Republic of Moldova,G,Government,FI,P,Persons,0,0,0,5,0,5
2003,SDN,MWI,Sudan,Malawi,G,Government,FI,P,Persons,0,0,0,5,0,5
2003,SDN,MLT,Sudan,Malta,G,Government,FI,P,Persons,0,0,19,0,5,24
2003,SDN,NAM,Sudan,Namibia,G,Government,FI,P,Persons,0,0,0,5,0,5
2003,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,AR,P,Persons,0,37,32,134,327,530
2003,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,FI,P,Persons,0,5,97,50,398,550
2003,SDN,NGA,Sudan,Nigeria,G,Government,FI,P,Persons,0,29,0,0,5,34
2003,SDN,NOR,Sudan,Norway,G,Government,FI,P,Persons,0,0,5,12,54,71
2003,SDN,NZL,Sudan,New Zealand,G,Government,FI,P,Persons,0,0,0,0,5,5
2003,SDN,POL,Sudan,Poland,G,Government,FI,P,Persons,0,0,0,0,5,5
2003,SDN,ROU,Sudan,Romania,G,Government,FI,P,Persons,0,0,0,0,13,13
2003,SDN,ZAF,Sudan,South Africa,G,Government,FI,P,Persons,0,26,0,0,0,26
2003,SDN,SAU,Sudan,Saudi Arabia,U,UNHCR,FI,P,Persons,0,0,0,5,13,18
2003,SDN,ESP,Sudan,Spain,G,Government,FI,P,Persons,0,0,0,10,10,17
2003,SDN,SVK,Sudan,Slovakia,G,Government,FI,P,Persons,0,0,0,13,0,13
2003,SDN,SWE,Sudan,Sweden,G,Government,AR,P,Persons,0,0,5,0,12,17
2003,SDN,SWE,Sudan,Sweden,G,Government,FI,P,Persons,0,0,0,5,23,28
2003,SDN,CHE,Sudan,Switzerland,G,Government,FI,P,Persons,0,0,0,31,70,101
2003,SDN,SYR,Sudan,Syrian Arab Republic,U,UNHCR,FI,C,Cases,0,40,0,5,114,159
2003,SDN,THA,Sudan,Thailand,U,UNHCR,FA,P,Persons,0,0,0,0,5,5
2003,SDN,TUR,Sudan,Türkiye,U,UNHCR,FI,P,Persons,0,12,0,0,0,12
2003,SDN,ARE,Sudan,United Arab Emirates,U,UNHCR,FI,P,Persons,0,0,0,24,0,24
2003,SDN,UGA,Sudan,Uganda,G,Government,FI,P,Persons,0,156,0,28,0,184
2003,SDN,UKR,Sudan,Ukraine,G,Government,FI,P,Persons,0,0,0,0,10,10
2003,SDN,USA,Sudan,United States of America,G,Government,EO,P,Persons,0,96,0,69,114,279
2003,SDN,USA,Sudan,United States of America,G,Government,IN,C,Cases,0,94,0,25,91,210
2003,SDN,YEM,Sudan,Yemen,U,UNHCR,FI,P,Persons,0,0,0,5,25,30
2003,SDN,ZWE,Sudan,Zimbabwe,G,Government,FI,P,Persons,0,21,0,0,0,21
2004,SDN,EGY,Sudan,Egypt,U,UNHCR,FI,P,Persons,0,2436,0,932,603,3971
2004,SDN,AUT,Sudan,Austria,G,Government,FA,P,Persons,0,21,0,35,19,75
2004,SDN,BEL,Sudan,Belgium,G,Government,AR,P,Persons,0,0,0,0,18,18
2004,SDN,BEL,Sudan,Belgium,G,Government,FI,P,Persons,0,5,0,5,33,43
2004,SDN,BEN,Sudan,Benin,G,Government,FI,P,Persons,0,5,0,0,0,5
2004,SDN,BGR,Sudan,Bulgaria,G,Government,FI,P,Persons,0,0,5,0,0,5
2004,SDN,CAN,Sudan,Canada,G,Government,FI,P,Persons,0,81,0,5,30,116
2004,SDN,CAF,Sudan,Central African Republic,G,Government,FI,P,Persons,0,288,0,0,0,288
2004,SDN,COG,Sudan,Congo,U,UNHCR,FI,C,Cases,0,0,0,0,5,5
2004,SDN,COD,Sudan,Democratic Republic of the Congo,U,UNHCR,FA,C,Cases,0,5,0,0,0,5
2004,SDN,DNK,Sudan,Denmark,G,Government,AR,P,Persons,0,0,0,0,5,5
2004,SDN,DNK,Sudan,Denmark,G,Government,FI,P,Persons,0,5,0,0,5,10
2004,SDN,DJI,Sudan,Djibouti,G,Government,FI,C,Cases,0,0,0,0,5,5
2004,SDN,ETH,Sudan,Ethiopia,G,Government,FA,P,Persons,0,39,0,0,0,39
2004,SDN,FRA,Sudan,France,G,Government,FI,P,Persons,0,116,0,0,311,427
2004,SDN,FRA,Sudan,France,G,Government,RA,P,Persons,0,20,0,0,0,20
